datetime	temp0.1	temp0.5	temp1.0	temp1.25	temp1.5	temp1.75	temp2.0	temp2.25	temp2.5	temp2.75	temp3.0	temp4.0
2014-04-15 00:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 00:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 00:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 00:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 00:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 01:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 01:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 01:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 01:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 01:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 01:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 02:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 02:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 02:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 02:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 02:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 02:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 03:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 03:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 03:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 03:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 03:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 03:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 04:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 04:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 04:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 04:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 04:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 04:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 05:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 05:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 05:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 05:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 05:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 05:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 06:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 06:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 06:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 06:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 06:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 06:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 07:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 07:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 07:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 07:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 07:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 07:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 08:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 08:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 08:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 08:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 08:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 08:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 09:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 09:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 09:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 09:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 09:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 09:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 10:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 10:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 10:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 10:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 10:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 10:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 11:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 11:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 11:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 11:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 11:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 11:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 12:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 12:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 12:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 12:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 12:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 12:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 13:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 13:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 13:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 13:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 13:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 13:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 14:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 14:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 14:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 14:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 14:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 14:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 15:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 15:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 15:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 15:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 15:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 15:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 16:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 16:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 16:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 16:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 16:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 16:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 17:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 17:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 17:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 17:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 17:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 17:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 18:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 18:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 18:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 18:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 18:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 18:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 19:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 19:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 19:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 19:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 19:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 19:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 20:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 20:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 20:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 20:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 20:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 20:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 21:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 21:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 21:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 21:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 21:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 21:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 22:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 22:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 22:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 22:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 22:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 22:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 23:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 23:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 23:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 23:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 23:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-15 23:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 00:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 00:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 00:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 00:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 00:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 00:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 01:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 01:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 01:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 01:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 01:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 01:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 02:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 02:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 02:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 02:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 02:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 02:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 03:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 03:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 03:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 03:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 03:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 03:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 04:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 04:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 04:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 04:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 04:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 04:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 05:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 05:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 05:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 05:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 05:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 05:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 06:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 06:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 06:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 06:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 06:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 06:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 07:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 07:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 07:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 07:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 07:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 07:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 08:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 08:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 08:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 08:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 08:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 08:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 09:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 09:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 09:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 09:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 09:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 09:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 10:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 10:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 10:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 10:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 10:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 10:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 11:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 11:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 11:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 11:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 11:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 11:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 12:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 12:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 12:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 12:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 12:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 12:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 13:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 13:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 13:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 13:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 13:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 13:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 14:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 14:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 14:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 14:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 14:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 14:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 15:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 15:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 15:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 15:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 15:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 15:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 16:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 16:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 16:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 16:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 16:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 16:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 17:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 17:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 17:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 17:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 17:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 17:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 18:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 18:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 18:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 18:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 18:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 18:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 19:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 19:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 19:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 19:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 19:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 19:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 20:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 20:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 20:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 20:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 20:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 20:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 21:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 21:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 21:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 21:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 21:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 21:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 22:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 22:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 22:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 22:30:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 22:40:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 22:50:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 23:00:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 23:10:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2014-04-16 23:20:00	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
